PCIS Permit #,Status,Status Date,Permit Type,Permit Sub-Type,Issue Date,Address Start,Address End,Street Direction,Street Name,Street Suffix,Valuation,Floor Area-L.A. Zoning Code Definition,# of Residential Dwelling Units,# of Stories,Zone,Floor Area-L.A. Building Code Definition,Council District,Latitude/Longitude
14016-20000-18248,Issued,02/23/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,02/23/2015,2553,2553,N,SUMMITRIDGE,DR,$90000.00,874,,2,RE40-1-H,874,5,"(34.12113, -118.42132)"
14014-10000-04043,Issued,11/18/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,11/18/2014,8001,8001,N,NORWICH,AVE,$47128.00,1547,0,1,R1-1,330,6,"(34.21603, -118.46109)"
16014-20000-01396,Issued,03/30/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,03/30/2016,4604,4604,N,YOSEMITE,WAY,$3200.00,154,,0,RE20-1,154,14,"(34.1341, -118.22339)"
15014-30000-01172,Issued,08/25/2015 12:00:00 AM,Bldg-Addition,Apartment,08/25/2015,1963,1963,S,BEVERLY GLEN,BLVD,$120000.00,4525,0,0,R3-1-O,365,5,"(34.05362, -118.42322)"
15016-20001-12238,Issued,10/29/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,10/29/2015,15113,15115,W,COVELLO,ST,$5000.00,64,0,0,R1-1,64,6,"(34.20764, -118.46235)"
13010-30000-03330,Issued,05/06/2014 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,05/06/2014,1570,1570,N,SAN REMO,DR,$20000.00,365,,1,RE20-1-H,61,11,"(34.05967, -118.49978)"
14010-30000-01014,Issued,02/12/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,02/12/2015,3554,3554,S,OCEAN VIEW,AVE,$724456.00,5501,1,2,R1-1,5685,11,"(34.00981, -118.43647)"
15010-20000-03255,Issued,10/21/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,10/21/2015,130,130,S,GRANVILLE,AVE,$850000.00,5256,1,2,RS-1,5656,11,"(34.06293, -118.47121)"
15014-20000-03514,Issued,08/21/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,08/21/2015,5616,5616,N,VENTURA CANYON,AVE,$160000.00,67,,0,R1-1,67,2,"(34.17273, -118.42891)"
14014-20000-04270,Issued,03/31/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,03/31/2015,7667,7667,W,SEATTLE,PL,$25250.00,250,,0,RE11-1,250,4,"(34.12216, -118.36362)"
06010-30003-02988,Issued,10/16/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,10/16/2014,501,501,N,ROBINWOOD,DR,$35000.00,6345,,2,R1-1,379,11,"(34.06821, -118.48246)"
15010-10000-00629,Issued,05/08/2015 12:00:00 AM,Bldg-New,Commercial,05/08/2015,10045,10045,S,WESTERN,AVE,$501.00,480,,1,[Q]C2-1VL,480,8,"(33.94405, -118.3093)"
13010-10000-01487,Issued,04/14/2015 12:00:00 AM,Bldg-New,Apartment,04/14/2015,9330,9330,N,SUNLAND,BLVD,$567600.00,5121.46,3,2,(T)(Q)RD3-1,6223.39,7,"(34.23863, -118.36758)"
12010-10000-00374,Issued,08/06/2013 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,08/06/2013,1641,1641,N,MORTON,AVE,$179875.00,1394,1,3,[Q]RD2-1VL,1726,13,
15014-20000-01572,Issued,06/11/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,06/11/2015,1680,1680,N,CLEAR VIEW,DR,$50000.00,405,,0,RE15-1-H,405,5,"(34.10282, -118.43426)"
14014-20000-03159,Issued,06/10/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,06/10/2015,12980,12980,W,SAN VICENTE,BLVD,$250000.00,2623.5,,2,RE15-1,695.5,11,"(34.04873, -118.48906)"
14010-20000-00636,Issued,03/01/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,03/01/2016,14103,14103,W,SPRUCE,LANE,$177363.00,1319,1,3,RD1.5-1,1651,2,
13016-10001-01773,Issued,05/14/2013 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,05/14/2013,10516,10516,W,LINDBROOK,DR,$501.00,2460.67,,0,R1-1,25.67,5,"(34.06451, -118.43334)"
14010-30000-03390,Issued,03/31/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,03/31/2015,2444,2444,S,WESTGATE,AVE,$117000.00,547,,2,R1-1,1143,11,"(34.02934, -118.44761)"
13014-10000-00879,Issued,03/13/2013 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,03/13/2013,401,401,W,107TH,ST,$49000.00,1095,,1,R2-1,360,8,"(33.9393, -118.28068)"
12010-20000-02045,Issued,01/14/2014 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,01/14/2014,401,401,S,26TH,ST,$105000.00,776.19,,2,RE11-1,1192.83,11,"(34.04575, -118.48864)"
13014-10000-01497,Issued,05/06/2013 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,05/06/2013,838,838,N,ORANGE GROVE,AVE,$30000.00,3431,,1,R2-1XL,133.92,5,"(34.08645, -118.36039)"
16010-20000-00373,Issued,04/14/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,04/14/2016,16187,16187,W,ROYAL OAK,ROAD,$3500000.00,14395,1,2,RE15-1-H,17806,5,"(34.13986, -118.48389)"
14014-20000-04661,Issued,05/18/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,05/18/2015,16611,16611,W,BOSQUE,DR,$120000.00,573,,2,RE15-1-H,870.5,5,"(34.14741, -118.49522)"
13010-10000-04145,Issued,12/24/2013 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,12/24/2013,11053,11053,N,NOBLE,AVE,$27720.00,0,,1,PF-1XL,493.5,7,"(34.2707, -118.45928)"
14014-10000-02357,Issued,08/14/2014 12:00:00 AM,Bldg-Addition,Apartment,08/14/2014,1521,1521,N,EVERGREEN,AVE,$3000.00,0,,0,A1-1,22,14,"(34.05871, -118.19439)"
15010-30000-00943,Issued,06/01/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,06/01/2015,1749,1749,N,STONE CANYON,ROAD,$800000.00,4741,1,2,RE15-1-H,5142,5,"(34.10287, -118.45832)"
13010-10000-00899,Issued,06/25/2013 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,06/25/2013,9000,9000,W,MEREDITH,PL,$27500.00,500,,1,RE15-1-H,500,5,"(34.11276, -118.39333)"
15014-70000-03750,Issued,09/02/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/02/2015,4032,4032,S,HOBART,BLVD,$40000.00,341,0,1,R2-1,341,8,"(34.00976, -118.30765)"
13010-10000-02276,Issued,08/21/2013 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,08/21/2013,3211,3211,E,6TH,ST,$20900.00,0,,1,R2-1,380,14,"(34.03226, -118.20169)"
14010-10000-01202,Issued,09/25/2015 12:00:00 AM,Bldg-New,Commercial,09/25/2015,1200,1200,S,BROADWAY,,$26250000.00,196360,214,7,C2-4D-O,302511,14,"(34.03792, -118.26026)"
13010-10000-03178,Issued,10/08/2015 12:00:00 AM,Bldg-New,Apartment,10/08/2015,1034,1034,W,42ND,PL,$455565.00,5475,5,2,R3-1,5475,9,"(34.00629, -118.29281)"
15010-20000-02161,Issued,11/24/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,11/24/2015,8322,8322,W,4TH,ST,$685000.00,5058,1,2,R2-1,5223,5,"(34.07089, -118.37107)"
12014-20000-02425,Issued,08/07/2013 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,08/07/2013,523,523,N,OLEANDER,DR,$10000.00,245,,2,R1-1,245,14,"(34.1249, -118.18245)"
13014-70000-00161,Issued,02/05/2013 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,02/05/2013,1195,1195,W,ROLLAND CURTIS,PL,$14000.00,33,,0,RD1.5-1,33,8,"(34.01651, -118.29738)"
15010-20000-03234,Issued,11/17/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,11/17/2015,4121,4121,N,LONGRIDGE,AVE,$450000.00,2348,0,1,RE20-1,2348,4,"(34.14407, -118.42138)"
11016-10000-21116,Issued,02/15/2013 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,02/15/2013,2028,2028,N,TAFT,AVE,$50000.00,198,0,1,R1-1D,198,4,"(34.10794, -118.31526)"
15014-20000-05141,Issued,11/25/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,11/25/2015,8211,8211,N,MATILIJA,AVE,$7000.00,220,0,1,R1-1,220,6,"(34.22014, -118.43501)"
15014-20000-04262,Issued,09/17/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/17/2015,5419,5419,N,GEYSER,AVE,$5800.00,180,,1,R1-1,180,3,"(34.16955, -118.54296)"
15014-20000-04759,Issued,12/08/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,12/08/2015,3368,3368,N,CHARLESTON,WAY,$10000.00,76,0,0,R1-1,76,4,"(34.1329, -118.3462)"
13014-30000-05310,Issued,06/27/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,06/27/2014,520,520,N,STASSI,LANE,$267484.00,3226,,3,R1-1D-O,356,11,"(34.03256, -118.51018)"
15014-20000-03763,Issued,09/15/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/15/2015,3797,3797,S,CHERRYWOOD,AVE,$25000.00,109,0,1,R1-1,109,10,"(34.01743, -118.32916)"
12010-10001-02081,Issued,02/11/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,02/11/2014,3383,3383,N,MANDEVILLE CANYON,ROAD,$15000.00,-87,,1,RE40-1-H,-87,11,"(34.10467, -118.50376)"
15010-20000-01322,Issued,09/09/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,09/09/2015,17320,17320,W,RANCHO,ST,$24240.00,191,,1,RA-1,191,5,"(34.15622, -118.51062)"
14010-30000-03755,Issued,04/24/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,04/24/2015,331,331,N,CARMELINA,AVE,$20000.00,258,,1,RE20-1,258,11,"(34.06256, -118.48529)"
15014-20000-01679,Issued,02/03/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,02/03/2016,12148,12148,W,MAXWELLTON,ROAD,$120000.00,1505,,2,R1-1-RFA-RIO,385,2,"(34.14053, -118.39794)"
14014-20000-03526,Issued,10/06/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,10/06/2014,3658,3658,N,WILLOW CREST,AVE,$150000.00,3801,0,2,R1-1,832,2,"(34.13605, -118.36767)"
14014-70000-00415,Issued,02/12/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,02/12/2014,720,720,E,48TH,ST,$7300.00,132,,0,R2-1,132,9,"(33.9996, -118.26252)"
12014-40000-04218,Issued,11/20/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,11/20/2015,1861,1861,N,CRESCENT HEIGHTS,BLVD,$70000.00,496.53,,0,RE9-1,496.53,4,"(34.10329, -118.36832)"
13010-10000-03005,Issued,02/24/2014 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,02/24/2014,1979,1979,N,STRADELLA,ROAD,$850000.00,3892,1,4,RE15-1-H,5025,5,"(34.10392, -118.46143)"
14014-20000-03084,Issued,07/21/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,07/21/2014,5227,5227,N,AVENIDA HACIENDA,,$25000.00,361,,1,R1-1,246,3,"(34.16644, -118.53374)"
14010-20000-00776,Issued,07/08/2014 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,07/08/2014,15085,15085,W,POLK,ST,$75750.00,750,0,1,R1-1,750,7,"(34.29747, -118.4614)"
15010-20000-00556,Issued,11/23/2015 12:00:00 AM,Bldg-New,Apartment,11/23/2015,3615,3615,S,CARDIFF,AVE,$1680000.00,132.75,10,3,R3-1,18309,5,"(34.02828, -118.39855)"
15010-70000-01662,Issued,05/12/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,05/12/2015,214,214,E,41ST,PL,$4500.00,0,,1,R2-1,180,9,"(34.00806, -118.27099)"
13010-10000-03902,Issued,05/14/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,05/14/2015,21415,21415,S,NORMANDIE,AVE,$299592.00,2101,1,2,R2-1,2474,15,
14014-10000-04689,Issued,03/18/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,03/18/2015,5672,5672,W,VALLEY OAK,DR,$45000.00,3605,,2,RE11-1D,382,4,"(34.10968, -118.31282)"
15014-20000-00743,Issued,03/12/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,03/12/2015,18656,18656,W,CELTIC,ST,$50400.00,1948,0,1,RE11-1,469,12,"(34.26856, -118.53914)"
15010-20000-00064,Issued,05/20/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,05/20/2015,424,424,N,FLORES,ST,$885000.00,6088,1,2,R1-1,6518,5,"(34.0789, -118.37094)"
15016-10000-24860,Issued,11/19/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,11/19/2015,17730,17730,W,MARTHA,ST,$1500.00,914,0,0,R1-1-RIO,0,5,
13014-10000-03064,Issued,04/16/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,04/16/2014,2816,2816,N,DURAND,DR,$30000.00,0,,0,R1-1,310,4,"(34.11965, -118.32504)"
14014-10000-02340,Issued,08/14/2014 12:00:00 AM,Bldg-Addition,Apartment,08/14/2014,1420,1420,N,CRUSADO,LANE,$3000.00,0,,0,A1-1,22,14,"(34.05774, -118.19535)"
15014-30000-01559,Issued,06/03/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,06/03/2015,1940,1940,N,MYRA,AVE,$30000.00,32,0,0,R1-1,32,4,"(34.10668, -118.28003)"
13010-30000-02497,Issued,02/13/2014 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,02/13/2014,826,826,W,AMOROSO,PL,$63000.00,346,0,2,R2-1,721,11,"(33.99318, -118.458)"
14014-20000-00560,Issued,04/28/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,04/28/2014,7020,7020,N,SUNNYSLOPE,AVE,$3000.00,76.8,0,0,RE11-1,76.8,2,"(34.19812, -118.42675)"
16014-20000-01231,Issued,03/22/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,03/22/2016,18355,18355,W,ARMINTA,ST,$50000.00,446.4,,0,RA-1,446.4,12,"(34.21395, -118.5335)"
15010-30000-00265,Issued,08/05/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,08/05/2015,2704,2704,S,MONTE MAR,TER,$900000.00,6623,1,2,R1-1-O,7023,5,"(34.04466, -118.40335)"
15010-10000-01129,Issued,10/14/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,10/14/2015,2223,2223,W,HILL,DR,$46000.00,,,1,R1-1,1099,14,"(34.143, -118.21457)"
15010-70000-04385,Issued,02/23/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,02/23/2016,1626,1626,S,BEDFORD,ST,$478000.00,4531,1,2,R2-1-O,4892,5,"(34.04907, -118.38114)"
15010-10000-01709,Issued,04/13/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,04/13/2016,17537,17537,W,TRAMONTO,DR,$700000.00,2502,1,1,R1-1,5636,11,"(34.04152, -118.55829)"
15014-70000-02580,Issued,07/22/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,07/22/2015,9920,9920,S,COMPTON,AVE,$20000.00,127,,0,R2-1,127,15,"(33.94608, -118.2461)"
13014-20000-03391,Issued,01/14/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,01/14/2014,1629,1631,S,SHERBOURNE,DR,$63000.00,584.64,,2,R2-1-O,584.64,5,"(34.04889, -118.38036)"
14014-20000-03995,Issued,09/12/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/12/2014,17905,17905,W,VANOWEN,ST,$2000.00,190.2,,0,R1-1,190.2,3,"(34.19402, -118.52321)"
16014-10000-00501,Issued,02/17/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,02/17/2016,20478,20478,W,COULSON,ST,$60000.00,2014,0,1,RS-1,375,3,"(34.17263, -118.57922)"
15010-30000-00166,Issued,05/15/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,05/15/2015,251,251,S,ANITA,AVE,$1400000.00,4360,1,2,R1-1,5005,11,"(34.053, -118.482)"
16016-20000-05301,Issued,03/10/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,03/10/2016,2481,2481,S,ARMACOST,AVE,$5000.00,56,,0,R1-1,56,11,"(34.02785, -118.44797)"
15010-20000-04296,Issued,01/13/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,01/13/2016,6856,6856,N,LOUISE,AVE,$5000.00,0,,1,RA-1,400,6,"(34.19544, -118.50968)"
13014-20000-03538,Issued,08/28/2013 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,08/28/2013,13459,13459,W,SYLVAN,ST,$6000.00,225,,0,R1-1,225,2,"(34.18497, -118.4266)"
13010-10000-01946,Issued,09/10/2014 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,09/10/2014,912,912,N,ALVARADO,ST,$175200.00,1593,1,3,C2-1VL,2266,13,"(34.07568, -118.26445)"
15010-20000-02408,Issued,08/10/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,08/10/2015,7120,7120,N,INDEPENDENCE,AVE,$8000.00,162,,1,R1-1-RIO,162,3,"(34.19989, -118.59048)"
14014-20000-03540,Issued,11/21/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,11/21/2014,2400,2400,N,WEID,PL,$52000.00,579,,1,R1-1,579,4,"(34.11574, -118.32743)"
14014-10000-02344,Issued,08/14/2014 12:00:00 AM,Bldg-Addition,Apartment,08/14/2014,1477,1477,N,EVERGREEN,AVE,$3000.00,0,,0,A1-1,22,14,"(34.05791, -118.19464)"
14010-20000-03635,Issued,01/20/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,01/20/2015,534,534,N,MARTEL,AVE,$20000.00,197,,1,R1-1,197,5,"(34.08122, -118.35098)"
15014-20000-04911,Issued,10/26/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,10/26/2015,1648,1648,S,CARMELINA,AVE,$3200.00,21,,1,R1-1,21,11,"(34.03572, -118.46244)"
13010-20000-02889,Issued,09/24/2013 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,09/24/2013,10525,10525,W,WOLDRICH,ST,$5000.00,0,,1,RE11-1-K,324,7,"(34.27211, -118.36013)"
14014-10000-04384,Issued,11/05/2014 12:00:00 AM,Bldg-Addition,Commercial,11/05/2014,1999,1999,S,AVENUE OF THE STARS,,$5000.00,123,,0,C2-2-O,123,5,"(34.05886, -118.41642)"
14010-20000-04135,Issued,08/05/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,08/05/2015,434,434,N,CRESCENT HEIGHTS,BLVD,$495000.00,4147,1,2,R1-1,4543,5,"(34.07921, -118.36571)"
13014-10000-05392,Issued,04/17/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,04/17/2014,10514,10514,W,WYTON,DR,$137000.00,112.46,,0,R1-1,112.46,5,"(34.07249, -118.43616)"
15014-70000-04017,Issued,09/17/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/17/2015,5024,5024,S,ARLINGTON,AVE,$51000.00,497,,0,R1-1,497,8,"(33.99721, -118.318)"
15014-20000-03181,Issued,07/15/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,07/15/2015,5351,5351,N,BEVIS,AVE,$24400.00,2273,0,1,R1-1,306,4,"(34.16816, -118.45649)"
14014-10000-05012,Issued,01/29/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,01/29/2015,3420,3420,W,FERNCROFT,ROAD,$20000.00,1312,0,1,R1-1-RIO,156,13,"(34.11264, -118.26286)"
14016-10000-08964,Issued,07/14/2014 12:00:00 AM,Bldg-Addition,Commercial,07/14/2014,739,739,S,SAN PEDRO,ST,$10000.00,200,,0,M2-2D,0,14,"(34.03997, -118.2478)"
14014-20000-00581,Issued,04/11/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,04/11/2014,11318,11318,W,DONA LISA,DR,$46200.00,457,,2,RE15-1-H,457,2,"(34.13102, -118.37694)"
15014-30000-03318,Issued,11/13/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,11/13/2015,4874,4874,W,AMBROSE,AVE,$110000.00,2281,0,1,R1-1,,4,"(34.10892, -118.29585)"
13014-70000-02540,Issued,07/01/2013 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,07/01/2013,12118,12118,W,STANWOOD,DR,$30000.00,217,,1,R1-1,217,11,"(34.01733, -118.44031)"
13010-10000-00012,Issued,10/03/2014 12:00:00 AM,Bldg-New,Apartment,10/03/2014,1526,1526,S,ARMACOST,AVE,$7500000.00,43700,26,5,R3-1,59076,11,"(34.04124, -118.45949)"
13010-10000-02906,Issued,06/05/2014 12:00:00 AM,Bldg-New,Commercial,06/05/2014,6232,6256,N,TOPANGA CANYON,BLVD,$12052000.00,85662,,2,WC,69067,3,"(34.18412, -118.60489)"
13014-10000-05319,Issued,03/20/2014 12:00:00 AM,Bldg-Addition,Commercial,03/20/2014,414,414,N,FAIRFAX,AVE,$100000.00,3195,,1,C2-1VL-O,-630,5,"(34.07869, -118.36128)"
14014-30000-04157,Issued,11/30/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,11/30/2015,159,159,S,BOWLING GREEN,WAY,$305000.00,4053,1,2,R1-1,5056,11,"(34.05792, -118.47656)"
12010-10000-01634,Issued,05/06/2013 12:00:00 AM,Bldg-New,Commercial,05/06/2013,1708,1708,W,BEVERLY,BLVD,$2272111.00,6325,,2,C2-1,22490,13,"(34.06453, -118.26605)"
13014-30000-02843,Issued,07/18/2013 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,07/18/2013,1238,1238,S,HAYWORTH,AVE,$10000.00,0,,1,R2-1-O,249,5,"(34.05255, -118.3674)"
14014-20000-05117,Issued,02/03/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,02/03/2015,901,901,N,SAN PASCUAL,AVE,$60000.00,1418,,1,R1-1,410,14,"(34.11963, -118.17079)"
14014-20000-00618,Issued,03/03/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,03/03/2014,901,901,N,AIROLE,WAY,$60000.00,931,0,0,RE20-1-H,67,5,"(34.08632, -118.45181)"
16014-20000-01199,Issued,03/18/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,03/18/2016,7526,7526,N,WISCASSET,DR,$45000.00,440,0,0,RE11-1-H,243,12,"(34.20959, -118.6594)"
14010-20000-04098,Issued,04/21/2016 12:00:00 AM,Bldg-New,Apartment,04/21/2016,8748,8748,S,READING,AVE,$1600000.00,6780,10,2,R3-1,12847,11,"(33.95865, -118.38146)"
16014-30000-00859,Issued,03/23/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,03/23/2016,3422,3422,S,BEETHOVEN,ST,$370000.00,3714,0,2,R1-1,2699,11,"(34.00804, -118.44725)"
15010-30000-01112,Issued,10/27/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,10/27/2015,2827,2827,S,BARRINGTON,AVE,$540000.00,3682,1,2,R1-1,4339,11,"(34.02342, -118.43957)"
15014-20000-01359,Issued,08/24/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,08/24/2015,9226,9226,W,BEVERLYWOOD,ST,$340000.00,2495,,2,R1-1,2881,5,"(34.03909, -118.39233)"
15014-70000-03081,Issued,09/28/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/28/2015,5510,5510,E,TEHAMA,ST,$57000.00,480,,0,R1-1,840,14,"(34.12552, -118.19703)"
15014-30000-03790,Issued,10/06/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,10/06/2015,12304,12304,W,GREENE,AVE,$15000.00,181.5,,0,R1-1,103,11,"(33.99268, -118.421)"
14014-10000-02855,Issued,12/21/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,12/21/2015,2569,2571,N,LAUREL,PASS,$180000.00,2925,1,2,RE15-1-H,970,4,"(34.11739, -118.38272)"
15010-10000-01296,Issued,10/01/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,10/01/2015,3768,3768,S,OCEAN VIEW,AVE,$40000.00,405,,1,R1-1,405,11,"(34.00508, -118.43287)"
15010-20000-03770,Issued,01/20/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,01/20/2016,12011,12011,N,RICASOLI,WAY,$675000.00,3933,1,2,RE-1,4525,12,
14010-20000-03888,Issued,04/28/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,04/28/2015,421,421,N,VAN NESS,AVE,$241000.00,2069,1,3,R3-1,2384,4,"(34.07908, -118.31588)"
15010-20000-03167,Issued,10/27/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,10/27/2015,447,447,N,HARPER,AVE,$505000.00,5062,1,2,R2-1,5500,5,"(34.07958, -118.36911)"
14010-10000-03974,Issued,11/06/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,11/06/2015,7936,7936,N,BELLAIRE,AVE,$7000.00,,,1,(T)R1-1,324,2,"(34.21503, -118.41244)"
14014-10000-05495,Issued,06/30/2015 12:00:00 AM,Bldg-Addition,Commercial,06/30/2015,838,838,E,6TH,ST,$405000.00,0,,0,M2-2D,794,14,"(34.03991, -118.24183)"
15010-20000-00522,Issued,10/08/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,10/08/2015,751,751,E,CALIFORNIA,AVE,$246000.00,3153,1,2,RD1.5-1,3153,11,
14010-10000-03624,Issued,07/17/2015 12:00:00 AM,Bldg-New,Commercial,07/17/2015,1025,1025,S,ALVARADO,ST,$852040.00,5830,,2,C2-1,5830,1,"(34.05114, -118.28045)"
14014-30000-04694,Issued,12/02/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,12/02/2014,1228,1228,N,AMALFI,DR,$500000.00,7767.5,0,2,RE11-1,142.5,11,"(34.05208, -118.50569)"
15010-30000-03667,Issued,01/11/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,01/11/2016,3154,3154,S,BARRY,AVE,$500000.00,3533,1,2,R1-1,3930,11,"(34.0212, -118.43566)"
15014-20000-00826,Issued,09/02/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/02/2015,8914,8914,W,DEVLIN,PL,$175000.00,3814,0,1,RE15-1-H,,4,"(34.09469, -118.38531)"
14010-20000-02515,Issued,03/04/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,03/04/2015,5940,5940,W,SAWYER,ST,$340000.00,2886,1,2,R1-1,3344,10,
15014-70000-04296,Issued,10/05/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,10/05/2015,709,711,E,74TH,ST,$15000.00,981,0,1,R2-1,230,9,"(33.97309, -118.26256)"
